EMPRESA,ÁREA,TIPO
1,1,1
2,2,1
3,3,2
4,4,2
5,5,3
6,6,1
2,1,1
4,7,2
7,5,1
8,8,3
5,9,2
7,9,3
9,1,3
4,3,3
3,10,1
4,6,1
9,11,2
3,5,1
2,12,4
5,7,4
1,13,1
9,6,2
6,10,1
3,14,1
1,9,2
7,12,4
4,14,1
4,15,2
1,12,2
10,16,4
3,11,1
7,6,4
4,11,4
2,11,4
2,6,2
7,10,3
5,1,3
4,8,1
8,10,4
2,9,2
1,11,4
11,13,4
1,13,4
6,4,4
9,15,2
6,11,1
10,10,1
10,14,3
9,11,1
6,2,1
1,13,3
2,4,1
7,14,1
6,11,3
9,7,4
8,6,2
1,2,4
11,7,4
11,16,2
11,4,2
11,15,2
4,2,3
5,2,3
11,12,1
8,8,1
9,7,3
5,14,3
8,8,4
5,8,4
6,13,3
10,1,4
8,2,2
2,6,1
4,5,1
11,13,3
8,15,3
10,8,3
5,16,1
6,1,1
9,4,1
8,12,4
5,3,4
11,9,2
7,16,1
6,8,4
10,11,3
5,7,1
8,4,1
1,12,3
8,14,2
10,9,1
6,14,3
9,2,4
8,5,4
2,13,2
8,6,3
6,1,3
3,4,2
6,15,1
9,4,2
9,12,1
2,12,1
9,13,4
11,12,3
1,7,2
4,15,3
1,2,1
5,12,4
3,5,4
7,15,3
8,16,1
8,12,2
11,3,2
7,8,2
10,3,3
2,12,2
5,7,2
9,1,1
11,15,1
9,9,2
4,8,4
5,3,1
10,15,4
10,13,2
11,16,1
10,2,3
11,8,4
3,12,2
11,3,3
1,5,2
6,12,2
1,5,4
4,1,3
8,6,4
5,2,4
7,16,3
8,13,3
3,16,3
10,6,1
8,5,3
7,6,2
3,1,3
8,12,3
11,4,3
2,8,1
8,12,1
3,2,4
7,2,1
5,2,1
5,4,3
7,4,4
2,5,1
9,16,1
6,8,2
12,17,5
13,18,6
14,19,5
15,17,6
16,17,5
17,20,6
18,20,5
19,17,6
20,21,6
21,21,6
22,21,6
23,19,6
24,18,5
25,19,5
26,18,6
27,17,5
28,17,5
