EMPRESA,ÁREA,SISTEMA,TIPO
1,1,1,1
2,2,2,2
2,2,3,2
2,2,4,1
2,3,5,1
2,2,6,1
3,1,7,1
3,1,8,1
4,4,9,1
4,5,10,1
4,6,11,1
5,2,3,3
6,6,12,1
6,6,13,2
7,2,14,1
8,1,15,1
9,1,16,1
9,1,17,1
10,6,18,3
10,6,19,3
11,5,10,3
11,5,20,3
11,5,21,3
12,1,22,3
12,1,23,3
12,1,24,3
12,1,17,3
13,3,25,3
13,3,26,3
14,6,27,3
14,6,28,3
14,1,29,3
14,6,30,3
14,6,31,3
14,1,32,3
15,1,33,4
16,3,34,4
17,3,35,4
5,2,7,5
18,1,36,6
13,3,6,5
19,6,37,7
19,5,37,5
20,7,7,8
21,8,36,9
5,2,6,10
6,1,37,5
5,3,37,6
18,6,7,11
13,5,36,7
5,7,6,12
18,8,37,13
13,2,7,9
19,1,36,14
5,3,6,15
18,8,37,16
18,2,7,16
13,1,36,16
19,3,6,16
5,6,37,16
18,5,7,16
18,7,36,16
13,8,6,16
19,2,6,16
5,1,37,16
19,3,37,16
19,8,7,16
20,2,36,16
21,2,6,16
6,3,7,16
5,6,36,16
18,5,6,16
13,7,37,16
5,8,7,16
18,2,36,16
13,1,6,16
18,1,6,16
13,3,6,16
19,6,37,16
5,5,37,16
18,7,7,16
18,8,36,16
13,2,6,16
19,1,37,16
5,3,7,16
19,8,36,16
20,2,37,16
21,1,7,16
5,3,36,16
6,6,6,16
13,8,36,16
5,2,6,16
13,3,37,16
19,8,37,16
5,2,7,16
18,1,36,16
18,3,6,16
13,6,37,16
19,5,7,16
5,7,36,16
18,8,6,16
18,2,37,16
13,1,7,16
19,3,36,16
5,8,6,16
19,2,37,16
19,2,7,16
20,1,36,16
21,3,6,16
5,6,6,16
6,5,37,16
5,7,37,16
18,8,7,16
13,2,36,16
5,1,6,16
18,3,37,16
13,8,7,16
19,2,36,16
18,6,7,16
13,5,36,16
19,7,6,16
5,8,37,16
19,8,6,16
5,2,37,16
19,1,7,16
20,3,36,16
21,6,6,16
6,7,7,16
5,8,36,16
18,2,6,16
13,1,37,16
18,6,36,16
13,7,6,16
18,1,7,16
18,3,36,16
19,1,36,16
20,6,37,16
21,5,7,16
6,8,6,16
13,3,36,16
5,6,7,16
18,5,36,16
18,7,6,16
13,8,37,16
5,1,36,16
13,2,7,16
19,6,7,16
20,5,36,16
21,7,6,16
6,2,37,16
18,3,7,16
18,1,37,16
13,3,7,16
19,6,36,16
5,5,6,16
18,7,37,16
19,1,6,16
5,3,37,16
20,7,36,16
21,8,6,16
6,1,7,16
13,2,37,16
5,1,7,16
13,6,6,16
19,5,37,16
5,7,7,16
19,5,36,16
20,8,37,16
21,2,7,16
6,3,6,16
5,3,6,16
18,6,6,16
13,5,37,16
19,7,37,16
5,2,36,16
21,1,6,16
6,8,37,16
18,5,37,16
13,7,7,16
19,5,6,16
6,2,7,16
5,5,7,16
13,5,6,16
20,3,37,16
21,8,7,16
6,1,6,16
5,7,6,16
19,3,7,16
20,8,36,16
6,3,37,16
13,7,36,16
6,6,7,16
5,5,36,16
20,1,37,16
21,3,7,16
6,5,6,16
6,7,37,16
20,6,36,16
21,5,6,16
6,8,7,16
19,6,6,16
20,5,37,16
21,7,7,16
6,2,6,16
6,1,37,16
19,7,7,16
19,7,36,16
13,6,7,16
18,6,37,16
13,6,36,16
6,6,37,16
6,5,7,16
21,6,7,16
6,7,6,16
20,7,37,16
13,5,7,16
5,2,7,11
18,1,36,9
13,3,6,17
19,6,37,18
19,5,37,18
20,7,7,19
21,8,36,20
5,2,6,20
6,1,37,21
5,3,37,22
18,6,7,8
13,5,36,21
5,7,6,15
18,8,37,12
13,2,7,21
19,1,36,21
5,3,6,11
18,8,37,15
18,2,7,18
13,1,36,14
19,3,6,5
5,6,37,23
18,5,7,7
18,7,36,6
13,8,6,7
19,2,6,23
5,1,37,11
19,3,37,8
19,8,7,18
20,2,36,6
21,2,6,9
5,1,37,23
6,3,7,17
5,6,36,21
18,5,6,21
13,7,37,20
5,8,7,24
18,2,36,19
13,1,6,20
19,3,37,7
5,8,7,19
18,2,36,23
18,1,6,21
13,3,6,6
19,6,37,12
5,5,37,14
18,7,7,14
18,8,36,15
13,2,6,14
19,1,37,10
5,3,7,24
19,8,36,14
19,2,6,17
20,2,37,21
21,1,7,12
5,3,36,19
6,6,6,20
5,5,37,11
18,7,7,7
13,8,36,14
5,2,6,9
18,1,6,17
13,3,37,7
19,8,37,19
5,2,7,21
18,1,36,13
18,3,6,15
13,6,37,24
19,5,7,20
5,7,36,19
18,8,6,17
18,2,37,11
13,1,7,5
19,3,36,24
5,8,6,13
19,2,37,8
19,2,7,19
20,1,36,5
21,3,6,11
5,6,6,23
6,5,37,21
5,7,37,18
18,8,7,19
13,2,36,13
5,1,6,12
18,3,37,8
13,8,7,6
19,2,36,5
5,1,6,6
18,3,37,17
18,6,7,18
13,5,36,11
19,7,6,13
5,8,37,14
18,2,7,25
18,1,36,22
13,3,6,19
19,8,6,20
5,2,37,21
19,2,37,22
19,1,7,7
20,3,36,15
21,6,6,22
6,7,7,10
5,8,36,23
18,2,6,12
13,1,37,20
5,3,7,6
13,2,6,20
19,1,37,12
5,3,7,12
18,6,36,9
18,5,6,10
13,7,6,11
19,8,37,18
5,2,37,8
18,1,7,7
18,3,36,23
13,8,6,24
19,2,37,14
5,2,7,22
19,1,36,12
19,3,6,21
20,6,37,15
21,5,7,20
5,7,36,17
6,8,6,20
