EMPRESA,ÁREA,SISTEMA,TIPO,CENTRAL
1,1,1,1,1
1,1,2,1,2
2,1,3,1,3
3,2,4,1,4
3,2,4,1,5
3,2,4,1,6
3,2,4,1,7
3,2,4,1,8
3,2,4,1,9
3,2,4,1,10
3,2,4,1,11
3,2,4,1,12
4,2,5,1,13
4,2,5,1,14
4,2,5,1,15
3,3,6,1,16
3,3,6,1,17
3,3,6,1,18
3,3,6,1,19
5,4,7,1,20
5,4,7,1,21
5,4,7,1,22
6,1,8,2,23
6,1,8,2,24
7,1,9,2,25
7,1,9,2,26
7,1,10,2,27
7,1,10,2,28
7,1,10,2,29
7,1,10,2,30
3,2,11,2,31
3,2,11,2,32
8,5,12,2,33
8,5,12,2,34
8,5,12,2,35
8,5,12,2,36
8,5,12,2,37
8,5,12,2,38
8,5,12,2,39
8,5,12,2,40
8,6,13,2,41
8,6,13,2,42
8,6,13,2,43
8,6,13,2,44
8,6,13,2,45
8,6,13,2,46
8,4,14,2,47
