EMPRESA,SISTEMA,TIPO
1,1,1
2,2,1
2,3,1
3,4,1
3,5,1
4,6,2
5,7,2
6,8,2
7,9,3
7,10,3
7,11,3
8,12,3
9,13,3
5,14,3
5,15,3
7,16,3
1,17,2
9,18,2
10,19,4
10,19,3
8,20,1
11,21,1
11,22,1
11,23,1
11,24,1
11,25,1
11,26,1
11,27,1
11,28,1
7,11,1
7,10,1
7,9,1
12,29,1
9,30,2
10,31,4
4,32,1
3,33,1
3,34,1
3,35,1
4,36,2
10,37,4
13,38,1
13,39,1
13,40,1
13,41,1
4,42,1
4,43,1
8,44,1
3,45,1
1,46,2
10,47,4
4,48,4
14,49,1
5,15,1
5,50,1
9,51,1
9,52,2
13,53,2
1,54,1
4,55,4
13,56,4
14,57,4
14,57,1
7,58,1
7,59,1
3,60,1
9,61,2
11,62,1
4,63,1
8,64,1
7,65,2
7,66,2
4,67,4
10,68,4
4,69,1
8,70,1
8,71,1
4,55,1
4,67,1
7,72,1
7,73,1
10,74,4
7,75,1
7,76,1
14,77,1
12,78,1
15,79,1
15,80,1
7,81,1
7,82,1
16,83,1
4,84,2
4,85,2
4,86,4
10,87,4
10,88,2
14,89,2
4,90,4
10,91,4
4,92,2
4,93,4
10,94,4
15,95,1
2,96,1
2,97,1
2,98,1
2,99,1
2,100,1
2,101,1
2,102,1
15,103,1
15,104,1
9,13,4
9,18,4
15,105,1
14,106,1
9,13,1
13,107,1
4,108,1
17,109,1
11,110,1
11,111,1
15,112,2
4,113,2
4,114,2
4,115,2
4,116,2
4,117,2
4,118,2
13,119,2
1,120,2
4,121,4
11,23,4
11,24,4
11,25,4
3,122,1
3,123,1
15,124,1
3,125,1
13,56,1
9,126,1
13,127,2
13,128,2
1,129,2
13,130,2
11,131,2
3,132,1
9,133,2
13,134,2
5,135,2
4,63,4
3,136,1
8,137,1
15,138,1
7,139,1
7,140,1
4,141,4
7,142,4
7,143,4
7,144,4
7,145,4
3,146,1
3,147,1
3,148,1
3,149,1
3,150,1
3,151,1
4,141,2
3,152,1
4,153,4
1,54,4
3,154,1
7,83,1
11,155,2
4,156,4
4,156,1
9,157,4
2,158,4
3,159,1
3,160,1
7,161,1
7,162,1
7,163,1
7,164,1
7,165,1
9,166,2
4,167,4
4,153,1
4,48,1
8,168,1
3,169,1
3,170,1
7,171,1
7,172,1
7,173,1
18,174,1
15,175,1
16,176,1
4,177,2
4,178,2
4,179,2
4,180,4
12,181,1
8,182,1
9,183,2
10,184,2
4,185,2
10,94,1
7,186,1
3,187,1
3,188,1
13,107,4
1,1,4
3,189,1
9,190,1
7,191,1
7,16,1
7,192,1
12,193,1
9,126,4
1,18,2
7,194,4
7,194,1
19,195,5
20,195,5
