EMPRESA,ÁREA,SISTEMA,TIPO,CENTRAL
1,1,1,1,1
1,1,2,1,2
2,2,3,1,3
2,2,3,1,4
2,2,3,1,5
2,2,3,1,6
2,3,4,1,7
2,3,4,1,8
2,3,4,1,9
2,3,4,1,10
2,3,4,1,11
2,3,4,1,12
2,3,4,1,13
2,3,4,1,14
2,3,4,1,15
3,3,5,1,16
3,3,5,1,17
4,4,6,1,18
4,4,6,1,19
4,4,6,1,20
5,1,7,1,21
3,3,5,1,22
6,5,8,2,23
6,5,8,2,24
6,5,8,2,25
6,5,8,2,26
6,5,8,2,27
6,5,8,2,28
7,1,9,2,29
7,1,9,2,30
8,1,10,2,31
8,1,10,2,32
6,6,11,2,33
6,6,11,2,34
6,6,11,2,35
6,6,11,2,36
6,6,11,2,37
6,6,11,2,38
6,6,11,2,39
6,6,11,2,40
6,4,12,2,41
2,3,13,2,42
2,3,13,2,43
8,1,14,2,44
8,1,14,2,45
8,1,14,2,46
8,1,14,2,47
2,3,4,1,48
2,3,4,1,49
6,5,8,2,50
6,5,8,2,51
6,5,8,2,52
6,5,8,2,53
